transaction_datetime,client_id,product_quantity,transaction_id,store_id,product_id
2018-11-26 11:26:57,207078,1.0,269872,29373,119
2018-11-29 11:28:18,20591,1.0,451832,29373,119
2018-12-01 08:44:51,54610,1.0,564346,29373,119
2018-12-02 08:50:44,54610,2.0,623716,29373,119
2018-12-24 08:00:14,255465,1.0,1965164,29373,119
2018-12-25 08:33:06,54610,1.0,2033393,29373,119
2018-12-25 18:02:31,6994,1.0,2083471,29373,119
2018-12-26 08:43:30,54610,1.0,2099001,29373,119
2018-12-27 09:43:01,54610,2.0,2171042,29373,119
2019-01-04 08:08:17,54610,1.0,2655701,29373,119
2019-01-26 09:14:05,54610,1.0,4054844,29373,119
2019-01-27 08:36:42,54610,1.0,4114374,29373,119
2019-01-28 08:29:32,54610,2.0,4175609,29373,119
2019-02-06 08:44:07,54445,1.0,4794706,29373,119
2019-02-06 08:51:20,54610,1.0,4795403,29373,119
2019-02-07 08:34:12,54610,1.0,4865773,29373,119
2019-02-09 08:46:52,54610,1.0,5018083,29373,119
2019-02-13 09:54:00,54610,1.0,5312199,29373,119
2019-02-14 09:02:56,54610,1.0,5381449,29373,119
2019-02-16 09:06:44,54610,1.0,5541753,29373,119
2019-01-24 12:18:11,20591,4.0,3934433,29373,313
2019-02-21 12:24:37,20591,4.0,5936786,29373,313
2018-12-09 08:14:57,15036,1.0,1053513,29373,157
2018-12-10 10:10:08,275,1.0,1122733,29373,157
2018-12-10 10:49:38,15903,1.0,1125961,29373,157
2018-12-10 11:31:32,6227,1.0,1129079,29373,157
2018-12-22 10:11:58,285276,4.0,1860663,29373,157
2019-01-21 09:34:04,15903,2.0,3722456,29373,157
2019-02-09 12:23:40,355408,1.0,5042570,29373,157
2019-02-10 12:22:07,8668,1.0,5110335,29373,157
2019-02-11 10:17:27,15903,1.0,5168877,29373,157
2019-02-28 11:32:53,15903,1.0,6494741,29373,157
2019-03-15 15:21:37,6994,1.0,7795926,29373,157
2018-11-23 15:49:55,968,1.0,112567,29373,212
2018-12-07 15:36:36,968,1.0,969335,29373,212
2018-12-10 10:10:08,275,1.0,1122733,29373,212
2018-12-17 15:46:12,968,1.0,1577869,29373,212
2019-01-31 09:29:08,275,1.0,4389216,29373,212
2019-02-06 16:07:31,64168,1.0,4840725,29373,212
2019-02-23 07:35:22,383797,1.0,6073739,29373,212
2018-11-27 17:33:37,254726,1.0,361756,29373,105
2018-11-28 10:48:41,267963,1.0,388212,29373,105
2018-11-30 07:16:11,1280,1.0,493149,29373,105
2018-11-30 10:46:10,3537,2.0,510684,29373,105
2018-12-01 13:21:04,227664,1.0,591556,29373,105
2018-12-03 11:51:11,13088,1.0,698774,29373,105
2018-12-03 18:03:13,241511,1.0,730395,29373,105
2018-12-04 06:29:02,13088,1.0,736141,29373,105
2018-12-08 14:36:04,215170,1.0,1029764,29373,105
2018-12-09 08:14:57,15036,1.0,1053513,29373,105
